title;abstract;doi;application_area;clinical_procedure;multimodal_imaging;study_category;research_environment;purpose;imaging_technique;spectral_range
Automatic Liver Viability Scoring with Deep Learning and Hyperspectral Imaging;"Hyperspectral imaging (HSI) is a non-invasive imaging modality already applied to evaluate hepatic oxygenation and to discriminate different models of hepatic ischemia. Nevertheless, the ability of HSI to detect and predict the reperfusion damage intraoperatively was not yet assessed. Hypoxia caused by hepatic artery occlusion (HAO) in the liver brings about dreadful vascular complications known as ischemia-reperfusion injury (IRI). Here, we show the evaluation of liver viability in an HAO model with an artificial intelligence-based analysis of HSI. We have combined the potential of HSI to extract quantitative optical tissue properties with a deep learning-based model using convolutional neural networks. The artificial intelligence (AI) score of liver viability showed a significant correlation with capillary lactate from the liver surface (r = -0.78, p = 0.0320) and Suzuki's score (r = -0.96, p = 0.0012). CD31 immunostaining confirmed the microvascular damage accordingly with the AI score. Our results ultimately show the potential of an HSI-AI-based analysis to predict liver viability, thereby prompting for intraoperative tool development to explore its application in a clinical setting.;10.3390/diagnostics11091527";10.3390/diagnostics11091527;gastrointestinal;;;;;;;
Identification of near-infrared characteristic bands of small bowel necrosis based on cellwise detection algorithm;"The near-infrared spectroscopy is often used to distinguish small bowel necrosis due to necrotizing enterocolitis (NEC). The characteristic bands of small bowel necrosis, as an important basis for evaluating the confidence of the differentiation results, are challenging to identify quickly. In this study, we proposed to identify characteristic bands of lesion samples based on hyperspectral imaging (HSI) and cellwise outlier detection. Rabbits were used as an animal model to simulate the clinical symptoms of NEC. The rabbits were detected at intervals of 10, 30, 60, and 90 min. The characteristic bands were identified within the same rabbit, between different rabbits and at different times. The result showed the bands near 763 nm, corresponding to the absorption peak of deoxyhemoglobin, were the characteristic bands separating samples with NEC. The identification result was plausible because hypoxia was the main cause of NEC. The method was easy to perform. In this study, a method combining hyperspectral images and cellwise detection algorithm was proposed. Near-infrared spectroscopy characteristic bands of small intestinal necrosis caused by necrotizing enterocolitis were rapidly identified. image;10.1002/jbio.202300438";10.1002/jbio.202300438;gastrointestinal;;;;;;;
Therapeutic Assessment of High-Intensity Focused Ultrasound for Vulvar Lichen Sclerosus by Active Dynamic Thermal Imaging and Hyperspectral Imaging-A Preliminary Study;"Vulvar lichen sclerosus (VLS) is a common inflammatory condition associated with an increased risk of developing vulvar carcinoma. Recently, high-intensity focused ultrasound (HIFU) has been identified as a promising treatment modality for VLS in several clinical trials. However, in HIFU therapy, therapeutic outcome is routinely assessed visually by an expert using standardized grading criteria. Furthermore, such a therapeutic assessment cannot be made until at least 3 months after treatment. Therefore, an objective and timely method capable of quantitatively evaluating HIFU treatment effectiveness is desired, which may help identify patients whose treatment is insufficient promptly and prevent delay in re-treatment. The purpose of this study is to investigate the feasibility of using active dynamic thermal imaging (ADT) and hyperspectral imaging (HSI) as two individual objective and non-invasive optical methods for prompt quantitative assessment of the therapeutic response to HIFU treatment in VLS. From December 2018 to March 2019, 20 female VLS patients who underwent HIFU treatment were evaluated using both the ADT and HSI methods. The effective damage rate from the ADT method and the entropy of feature index from the HSI method were used to develop a multivariate linear discriminant classification model for grading the effectiveness of HIFU treatment in comparison with clinical evaluation gold standard. It was found that ADT was able to correctly differentiate ineffective treatments from effective ones with a sensitivity of 100% and specificity of 100%, while the sensitivity and specificity of HSI were 75 and 87.5%, respectively. The classification results demonstrate the clinical potential of the ADT and HSI methods for timely non-invasive and quantitative assessment of HIFU treatment for VLS.;10.3389/fphy.2020.00091";10.3389/fphy.2020.00091;gastrointestinal;;;;;;;
Fluorescence spectroscopic profiling of urine samples for predicting kidney transplant rejection;"Rejection is the primary factor affecting the functionality of a kidney post-transplant, where its prompt prediction of risk significantly influences therapeutic strategies and clinical outcomes. Current graft health assessment methods, including serum creatinine measurements and transplant kidney puncture biopsies, possess considerable limitations. In contrast, urine serves as a direct indicator of the graft's degenerative stage and provides a more accurate measure than peripheral blood analysis, given its non-invasive collection of kidneyspecific metabolite. This research entailed collecting fluorescent fingerprint data from 120 urine samples of post-renal transplant patients using hyperspectral imaging, followed by the development of a learning model to detect various forms of immunological rejection. The model successfully identified multiple rejection types with an average diagnostic accuracy of 95.56 %.Beyond proposing an innovative approach for predicting the risk of complications post-kidney transplantation, this study heralds the potential introduction of a non-invasive, rapid, and accurate supplementary method for risk assessment in clinical practice.;10.1016/j.pdpdt.2024.103984";10.1016/j.pdpdt.2024.103984;gastrointestinal;;;;;;;
Hyperspectral imaging based method for fast characterization of kidney stone types;"The formation of kidney stones is a common and highly studied disease, which causes intense pain and presents a high recidivism. In order to find the causes of this problem, the characterization of the main compounds is of great importance. In this sense, the analysis of the composition and structure of the stone can give key information about the urine parameters during the crystal growth. But the usual methods employed are slow, analyst dependent and the information obtained is poor. In the present work, the near infrared (NIR)-hyperspectral imaging technique was used for the analysis of 215 samples of kidney stones, including the main types usually found and their mixtures. The NIR reflectance spectra of the analyzed stones showed significant differences that were used for their classification. To do so, a method was created by the use of artificial neural networks, which showed a probability higher than 90% for right classification of the stones. The promising results, robust methodology, and the fast analytical process, without the need of an expert assistance, lead to an easy implementation at the clinical laboratories, offering the urologist a rapid diagnosis that shall contribute to minimize urolithiasis recidivism. (C) 2012 Society of Photo-Optical Instrumentation Engineers (SPIE). [DOI: 10.1117/1.JBO.17.7.076027];10.1117/1.JBO.17.7.076027";10.1117/1.JBO.17.7.076027;gastrointestinal;;;;;;;
Comparative Analysis of Deep Learning Methods for Classification of Ablated Regions in Hyperspectral Images of Atrial Tissue;"Radiofrequency ablation (RFA) is used to treat atrial fibrillation (AF). Viability gaps between ablated regions can lead to AF recurrence; thus, correctly detecting RFA lesions is important for successful treatment. Hyperspectral imaging (HSI) has been previously shown to aid in visualizing RFA-affected areas. However, automated classification of ablated/unabled tissue in HSI remains open. We comparatively analyze state-of-the-art deep learning models for HSI classification from the field of remote sensing. We group them based on model architecture and utilization of spectral and spatial contexts. We deploy a pre-clinical HSI dataset obtained from excised left atrial tissue of four porcine and five bovine samples. The 45 classification algorithms are benchmarked through two types of experiments: objective and subjective. For objective evaluation, per HSI cube, we limit the training and testing to rectangular areas of known classes (ablated/unablated), as reliable classification masks for whole HSI cubes are not available. For both porcine and bovine data, models incorporating graph neural networks demonstrate superior performance. The best eight algorithms are further compared in a subjective experiment. We ask seventeen participants to rate RGB visualizations of model outputs. In this experiment, the performance of an algorithm is assessed on the whole HSI cube, and is subject to participants' interpretation of the extent of RFA-affected tissue. Our comparative analysis allows us to observe the suitability of different deep learning architectures for HSI classification of affected tissue. These efforts contribute towards the potential future utilization of HSI for surgical guidance in RFA or similar procedures.;10.1109/ACCESS.2025.3543122";10.1109/ACCESS.2025.3543122;gastrointestinal;;;;;;;
Hyperspectral image-based analysis of thermal damage for ex-vivo bovine liver utilizing radiofrequency ablation;"Background & objective: Thermal ablation is the predominant methodology to treat liver tumors for segregating patients who are not permitted to have surgical intervention. However, noticing or predicting the size of the thermal strategies is a challenging endeavor. We aim to analyze the effects of ablation district volume following radiofrequency ablation (RFA) of ex-vivo liver exploiting a custom Hyperspectral Imaging (HSI) system. Materials and methods: RFA was conducted on the ex-vivo bovine liver at focal and peripheral blood vessel sites and observed by Custom HSI system, which has been designed to assess the exactness and proficiency using visible and near-infrared wavelengths region for tissue thermal effect. The experiment comprised up to ten trials with RFA. The experiment was carried out in two stages to assess the percentage of the thermal effect on the investigated sample superficially and for the side penetration effect. Measuring the diffuse reflectance (R , d) of the sample to identify the spectral reflectance shift which could differentiate between normal and ablated tissue exploiting the designed cross-correlation algorithm for monitoring of thermal ablation. Results: Determination of the diffuse reflection (R , d) spectral signature responses from normal, thermal effected, and thermal ablation regions of the investigated liver sample. Where the ideal wavelength range at (600-640 nm) could discriminate between these different regions. Then, exploited the converted RGB image of the HS liver tissue after RFA for more validations which shows that the optimum wavelength for differentiation at (530-560 nm and 600-640 nm). Finally, applying statistical analysis to validate our results presenting that wavelength 600 nm had the highest standard deviation (delta) to differentiate between various thermally affected regions regarding the normal tissue and wavelength 640 nm shows the highest (delta) to differentiate between the ablated and normal regions. Conclusion: The designed and implemented medical imaging system incorporated the hyperspectral camera capabilities with the associate cross-correlation algorithm that could successfully distinguish between the ablated and thermally affected regions to assist the surgery during the tumor therapy.;10.1016/j.suronc.2021.101564";10.1016/j.suronc.2021.101564;gastrointestinal;;;;;;;
Towards real-time multispectral endoscopic imaging for cardiac lesion quality assessment;"Atrial fibrillation (Afib) can lead to life threatening conditions such as heart failure and stroke. During Afib treatment, clinicians aim to repress unusual electrical activity by electrically isolating the pulmonary veins (PV) from the left atrium (LA) using radiofrequency ablation. However, current clinical tools are limited in reliably assessing transmurality of the ablation lesions and detecting the presence of gaps within ablation lines, which can warrant repeat procedures. In this study, we developed an endoscopic multispectral reflectance imaging (eMSI) system for enhanced discrimination of tissue treatment at the PV junction. The system enables direct visualization of cardiac lesions through an endoscope at acquisition rates up to 25 Hz. Five narrowband, high-power LEDs were used to illuminate the sample (450, 530, 625, 810 and 940nm) and combinatory parameters were calculated based on their relative reflectance. A stitching algorithm was employed to generate large field-of-view, multispectral mosaics of the ablated PV junction from individual eMSI images. A total of 79 lesions from 15 swine hearts were imaged, ex vivo. Statistical analysis of the acquired five spectral data sets and ratiometric maps revealed significant differences between transmural lesions, non-transmural lesions around the venoatrial junctions, unablated posterior wall of left atrium tissue, and pulmonary vein (p < 0.0001). A pixel-based quadratic discriminant analysis classifier was applied to distinguish four tissue types: PV, untreated LA, non-transmural and transmural lesions. We demonstrate tissue type classification accuracies of 80.2% and 92.1% for non-transmural and transmural lesions, and 95.0% and 92.8% for PV and untreated LA sites, respectively. These findings showcase the potential of eMS1 for lesion validation and may help to improve AFib treatment efficacy. (C) 2019 Optical Society of America under the terms of the OSA Open Access Publishing Agreement;10.1364/BOE.10.002829";10.1364/BOE.10.002829;gastrointestinal;;;;;;;
Imaging technologies for monitoring the safety, efficacy and mechanisms of action of cell-based regenerative medicine therapies in models of kidney disease;"The incidence of end stage kidney disease is rising annually and it is now a global public health problem. Current treatment options are dialysis or renal transplantation, which apart from their significant drawbacks in terms of increased morbidity and mortality, are placing an increasing economic burden on society. Cell-based Regenerative Medicine Therapies (RMTs) have shown great promise in rodent models of kidney disease, but clinical translation is hampered due to the lack of adequate safety and efficacy data. Furthermore, the mechanisms whereby the cell-based RMTs ameliorate injury are ill-defined. For instance, it is not always clear if the cells directly replace damaged renal tissue, or whether paracrine effects are more important. Knowledge of the mechanisms responsible for the beneficial effects of cell therapies is crucial because it could lead to the development of safer and more effective RMTs in the future. To address these questions, novel in vivo imaging strategies are needed to monitor the biodistribution of cell-based RMTs and evaluate their beneficial effects on host tissues and organs, as well as any potential adverse effects. In this review we will discuss how state-of-the-art imaging modalities, including bioluminescence, magnetic resonance, nuclear imaging, ultrasound and an emerging imaging technology called multispectral optoacoustic tomography, can be used in combination with various imaging probes to track the fate and biodistribution of cell-based RMTs in rodent models of kidney disease, and evaluate their effect on renal function. (C) 2016 The Authors. Published by Elsevier B.V.;10.1016/j.ejphar.2016.06.056";10.1016/j.ejphar.2016.06.056;gastrointestinal;;;;;;;
Photoacoustic imaging of kidney fibrosis for assessing pretransplant organ quality;"Roughly 10% of the world's population has chronic kidney disease (CKD). In its advanced stages, CKD greatly increases the risk of hospitalization and death. Although kidney transplantation has revolutionized the care of advanced CKD, clinicians have limited ways of assessing donor kidney quality. Thus, optimal donor kidney-recipient matching cannot be performed, meaning that some patients receive damaged kidneys that function poorly. Fibrosis is a form of chronic damage often present in donor kidneys, and it is an important predictor of future renal function. Currently, no safe, easy-to-perform technique exists that accurately quantifies renal fibrosis. We describe a potentially novel photoacoustic (PA) imaging technique that directly images collagen, the principal component of fibrotic tissue. PA imaging noninvasively quantifies whole kidney fibrotic burden in mice, and cortical fibrosis in pig and human kidneys, with outstanding accuracy and speed. Remarkably, 3-dimensional PA imaging exhibited sufficiently high resolution to capture intrarenal variations in collagen content. We further show that PA imaging can be performed in a setting that mimics human kidney transplantation, suggesting the potential for rapid clinical translation. Taken together, our data suggest that PA collagen imaging is a major advance in fibrosis quantification that could have widespread preclinical and clinical impact.;10.1172/jci.insight.136995";10.1172/jci.insight.136995;gastrointestinal;;;;;;;
Hyperspectral and machine-learning-based classification of ischemic intestinal tissue;"Significance Accurate intraoperative assessment of intestinal tissue viability is critical in determining the extent of resection in cases of intestinal ischemia. Current evaluation methods are largely subjective and lack the precision required for reliable decision-making during surgery. Aim We aim to develop and validate a hyperspectral imaging (HSI) system combined with machine learning (ML) to objectively assess intestinal wall viability and differentiate between reversible and irreversible ischemia. Approach A portable HSI system was used to acquire spectral data from rat models with induced intestinal ischemia at different time points (1, 6, and 12 h). Tissue oxygen saturation was calculated using a two-wavelength algorithm. Spectral data were classified using an ML pipeline based on principal component analysis (PCA) and the XGBoost algorithm, trained on histologically validated tissue classes. Results Tissue saturation decreased with prolonged ischemia (from 66% in healthy tissue to 21% after 12 h). Classification accuracy using PCA features reached 98% for intact tissue, 95% for possibly reversible ischemia, and 97% for irreversible ischemia. Classification maps closely matched tissue saturation distributions and histological findings. Initial clinical testing confirmed the system's sensitivity to ischemic changes in human subjects, although further training on human data is required for ML application. Conclusions HSI combined with ML provides an effective, non-invasive tool for real-time intraoperative assessment of intestinal viability. This approach improves the objectivity of surgical decision-making and may reduce unnecessary resections.;10.1117/1.JBO.30.11.116001";10.1117/1.JBO.30.11.116001;gastrointestinal;;;;;;;
Diagnosis of liver fibrosis and liver function reserve through non-invasive multispectral photoacoustic imaging;"Liver function reserve (LFR) is the sum of remnant functional hepatic cells after liver injury. In the pathologic process of liver fibrosis (LF), LFR is impaired. LFR assessment can help determine the safe scope of liver resection or drug regimen and predict prognosis of patients with liver disease. Here, we used a photoacoustic imaging (PAI) system to assess LF and LFR in rabbit models. We performed PAI, ultrasound elastography and biopsy for 21 rabbits developing none (n = 6) and LF (n = 15). In vivo indocyanine green (ICG) measurements by PAI showed that LF group presented a significantly attenuated ICG clearance compared to control group, indicating LFR impairment of LF. Another finding was a significantly higher collagen photoacoustic signal intensity value was observed in LF both in vivo and in vitro. Our findings demonstrated that PAI was potentially effective to evaluate LFR and collagen accumulation of LF.;10.1016/j.pacs.2023.100562";10.1016/j.pacs.2023.100562;gastrointestinal;;;;;;;
Techniques for quantification of liver fat in risk stratification of diabetics;"Fatty liver disease plays an important role in the development of type 2 diabetes. Accurate techniques for detection and quantification of liver fat are essential for clinical diagnostics. Chemical shift-encoded magnetic resonance imaging (MRI) is a simple approach to quantify liver fat content. Liver fat quantification using chemical shift-encoded MRI is influenced by several bias factors, such as T2* decay, T1 recovery and the multispectral complexity of fat. The confounder corrected proton density fat fraction is a simple approach to quantify liver fat with comparable results independent of the software and hardware used. The proton density fat fraction is an accurate biomarker for assessment of liver fat. An accurate and reproducible quantification of liver fat using chemical shift-encoded MRI requires a calculation of the proton density fat fraction.;10.1007/s00117-014-2720-9";10.1007/s00117-014-2720-9;gastrointestinal;;;;;;;
Key factors behind autofluorescence changes caused by ablation of cardiac tissue;"Radiofrequency ablation is a commonly used clinical procedure that destroys arrhythmogenic sources in patients suffering from atrial fibrillation and other types of cardiac arrhythmias. To improve the success of this procedure, new approaches for real-time visualization of ablation sites are being developed. One of these promising methods is hyperspectral imaging, an approach that detects lesions based on changes in the endogenous tissue autofluorescence profile. To facilitate the clinical implementation of this approach, we examined the key variables that can influence ablation-induced spectral changes, including the drop in myocardial NADH levels, the release of lipofuscin-like pigments, and the increase in diffuse reflectance of the cardiac muscle beneath the endocardial layer. Insights from these experiments suggested simpler algorithms that can be used to acquire and post-process the spectral information required to reveal the lesion sites. Our study is relevant to a growing number of multilayered clinical targets to which spectral approaches are being applied.;10.1038/s41598-020-72351-6";10.1038/s41598-020-72351-6;gastrointestinal;;;;;;;
Bimodal reflectance and fluorescence multispectral endoscopy based on spectrally resolving detector arrays;"Emerging clinical interest in combining standard white light endoscopy with targeted near-infrared (NIR) fluorescent contrast agents for improved early cancer detection has created demand for multimodal imaging endoscopes. We used two spectrally resolving detector arrays (SRDAs) to realize a bimodal endoscope capable of simultaneous reflectance-based imaging in the visible spectral region and multiplexed fluorescence-based imaging in the NIR. The visible SRDA was composed of 16 spectral bands, with peak wavelengths in the range of 463 to 648 nm and full-width at half-maximum (FWHM) between 9 and 26 nm. The NIR SRDA was composed of 25 spectral bands, with peak wavelengths in the range 659 to 891 nm and FWHM 7 to 15 nm. The spectral endoscope design was based on a babyscope model using a commercially available imaging fiber bundle. We developed a spectral transmission model to select optical components and provide reference end-members for linear spectral unmixing of the recorded image data. The technical characterization of the spectral endoscope is presented, including evaluation of the angular field-of-view, barrel distortion, spatial resolution and spectral fidelity, which showed encouraging performance. An agarose phantom containing oxygenated and deoxygenated blood with three fluorescent dyes was then imaged. After spectral unmixing, the different chemical components of the phantom could be successfully identified via majority decision with high signal-to-background ratio (>3). Imaging performance was further assessed in an ex vivo porcine esophagus model. Our preliminary imaging results demonstrate the capability to simultaneously resolve multiple biological components using a compact spectral endoscopy system. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.;10.1117/1.JBO.24.3.031009";10.1117/1.JBO.24.3.031009;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Targeted multispectral filter array design for the optimization of endoscopic cancer detection in the gastrointestinal tract;"Significance: Color differences between healthy and diseased tissue in the gastrointestinal (GI) tract are detected visually by clinicians during white light endoscopy; however, the earliest signs of cancer are often just a slightly different shade of pink compared to healthy tissue making it hard to detect. Improving contrast in endoscopy is important for early detection of disease in the GI tract during routine screening and surveillance. Aim: We aim to target alternative colors for imaging to improve contrast using custom multispectral filter arrays (MSFAs) that could be deployed in an endoscopic chip-on-tip configuration. Approach Using an open-source toolbox, Opti-MSFA, we examined the optimal design of MSFAs for early cancer detection in the GI tract. The toolbox was first extended to use additional classification models (k-nearest neighbor, support vector machine, and spectral angle mapper). Using input spectral data from published clinical trials examining the esophagus and colon, we optimized the design of MSFAs with three to nine different bands. Results: We examined the variation of the spectral and spatial classification accuracies as a function of the number of bands. The MSFA configurations tested showed good classification accuracies when compared to the full hyperspectral data available from the clinical spectra used in these studies. Conclusion: The ability to retain good classification accuracies with a reduced number of spectral bands could enable the future deployment of multispectral imaging in an endoscopic chip-on-tip configuration using simplified MSFA hardware. Further studies using an expanded clinical dataset are needed to confirm these findings.;10.1117/1.JBO.29.3.036005";10.1117/1.JBO.29.3.036005;;endoscopic_laparoscopic;;technical evaluation;;system development;;
A four-dimensional snapshot hyperspectral video-endoscope for bio-imaging applications;"Hyperspectral imaging has proven significance in bio-imaging applications and it has the ability to capture up to several hundred images of different wavelengths offering relevant spectral signatures. To use hyperspectral imaging for in vivo monitoring and diagnosis of the internal body cavities, a snapshot hyperspectral video-endoscope is required. However, such reported systems provide only about 50 wavelengths. We have developed a four-dimensional snapshot hyperspectral video-endoscope with a spectral range of 400-1000 nm, which can detect 756 wavelengths for imaging, significantly more than such systems. Capturing the three-dimensional datacube sequentially gives the fourth dimension. All these are achieved through a flexible two-dimensional to one-dimensional fiber bundle. The potential of this custom designed and fabricated compact biomedical probe is demonstrated by imaging phantom tissue samples in reflectance and fluorescence imaging modalities. It is envisaged that this novel concept and developed probe will contribute significantly towards diagnostic in vivo biomedical imaging in the near future.;10.1038/srep24044";10.1038/srep24044;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Multispectral polarization microscopy of different stages of human oral tissue: A polarization study;"Many optical techniques have been used in various diagnostics and biomedical applications since a decade and polarization imaging is one of the non-invasive and label free optical technique to investigate biological samples making it an important tool in diagnostics, biomedical applications. We report a multispectral polarization-based imaging of oral tissue by utilizing a polarization microscope system with a broadband-light source. Experiments were performed on oral tissue samples and multispectral Stokes mapping was done by recording a set of intensity images. Polarization-based parameters like degree of polarization, angle of fast axis, retardation and linear birefringence have been retrieved. The statistical moments of these polarization components have also been reported at multiples wavelengths. The polarimetric properties of oral tissue at different stages of cancer have been analyzed and significant changes from normal to pre-cancerous lesions to the cancerous are observed in linear birefringence quantification as (1.7 +/- 0.1) x 10(-3), (2.5 +/- 0.2) x 10(-3) and (3.3 +/- 0.2) x 10(-3) respectively.;10.1002/jbio.202300236";10.1002/jbio.202300236;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Simulation studies of selected aspects of the multispectral endoscopic imaging;This paper describes the method of subsurface scattering to simulate the process of light transport in human colon tissue. First the theoretical model was introduced including parameters characterizing its optical and fluorescent properties. Then using Monte-Carlo algorithm images were generated, which for different light source configurations, enables quicker localization of cancerous structures. Obtained results will help adjusting real medical devices, so that the photodynamic diagnosis is easier and more efficient (Simulation studies of selected aspects of the multispectral endoscopic imaging).;;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Assessment of angle-dependent spectral distortion to develop accurate hyperspectral endoscopy;"Hyperspectral endoscopy has shown its potential to improve disease diagnosis in gastrointestinal tracts. Recent approaches in developing hyperspectral endoscopy are mainly focusing on enhancing image speed and quality of spectral information under a clinical environment, but there are many issues in obtaining consistent spectral information due to complicated imaging conditions, including imaging angle, non-uniform illumination, working distance, and low reflected signal. We quantitatively investigated the effect of imaging angle on the distortion of spectral information by exploiting a bifurcated fiber, spectrometer, and tissue-mimicking phantom. Spectral distortion becomes severe as increasing the angle of the imaging fiber or shortening camera exposure time for fast image acquisition. Moreover, spectral ranges from 450 to 550 nm are more susceptible to the angle-dependent spectral distortion than longer spectral ranges. Therefore, imaging angles close to normal and longer target spectral ranges with enough detector exposure time could minimize spectral distortion in hyperspectral endoscopy. These findings will help implement clinical HSI endoscopy for the robust and accurate measurement of spectral information from patients in vivo.;10.1038/s41598-022-16232-0";10.1038/s41598-022-16232-0;;endoscopic_laparoscopic;;technical evaluation;;system development;;
A clinically translatable hyperspectral endoscopy (HySE) system for imaging the gastrointestinal tract;"Hyperspectral imaging (HSI) enables visualisation of morphological and biochemical information, which could improve disease diagnostic accuracy. Unfortunately, the wide range of image distortions that arise during flexible endoscopy in the clinic have made integration of HSI challenging. To address this challenge, we demonstrate a hyperspectral endoscope (HySE) that simultaneously records intrinsically co-registered hyperspectral and standard-ofcare white light images, which allows image distortions to be compensated computationally and an accurate hyperspectral data cube to be reconstructed as the endoscope moves in the lumen. Evaluation of HySE performance shows excellent spatial, spectral and temporal resolution and high colour fidelity. Application of HySE enables: quantification of blood oxygenation levels in tissue mimicking phantoms; differentiation of spectral profiles from normal and pathological ex vivo human tissues; and recording of hyperspectral data under freehand motion within an intact ex vivo pig oesophagus model. HySE therefore shows potential for enabling HSI in clinical endoscopy.;10.1038/s41467-019-09484-4";10.1038/s41467-019-09484-4;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Image enhancement based on in vivo hyperspectral gastroscopic images: a case study;"Hyperspectral imaging (HSI) has been recognized as a powerful tool for noninvasive disease detection in the gastrointestinal field. However, most of the studies on HSI in this field have involved ex vivo biopsies or resected tissues. We proposed an image enhancement method based on in vivo hyperspectral gastroscopic images. First, we developed a flexible gastroscopy system capable of obtaining in vivo hyperspectral images of different types of stomach disease mucosa. Then, depending on a specific object, an appropriate band selection algorithm based on dependence of information was employed to determine a subset of spectral bands that would yield useful spatial information. Finally, these bands were assigned to be the color components of an enhanced image of the object. A gastric ulcer case study demonstrated that our method yields higher color tone contrast, which enhanced the displays of the gastric ulcer regions, and that it will be valuable in clinical applications. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.;10.1117/1.JBO.21.10.101412";10.1117/1.JBO.21.10.101412;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Diagnosis of Human Bladder Cancer Cells at Different Stages Using Multispectral Imaging Microscopy;"Bladder cancer presents a spectrum of different diatheses. A precise assessment for individualized treatment depends on the accuracy of the initial diagnosis. Detection relies on comprehensive and accurate white light cystoscopy. White light cystoscopy has limitations in addition to its invasive nature and the potential risks related to the method. These limitations include difficulties in flat lesion detection, precise tumor delineation to enable complete resection, inflammation and malignancy differentiation, and grade and stage determination. The resolution of these problems depends on the surgeon's ability and experience with available technology for visualization and resection. In this study, we used multispectral imaging technology combined with phase contrast microscopy to analyze bladder cancer cells (BCCs) at various stages using a single-cell array chip. We found from the spectral characteristics of single cell that the cell spectra at the different cancer stages demonstrate a change in the cell's composition. We cultured 419 normal and diseased bladder cells. We used principal component analysis and a principal component score map to distinguish the different cancer stages. Diagnosis sensitivity and specificity of this method were 85.7% and 90.2% in 119 stage 0 (normal) cells, 84.3% and 90.8% in 79 stage 2 cancer cells, 87.6% and 92.4% in 151 stage 3 BCCs, and 85.3% and 91.2% in 70 stage 4 BCCs, respectively.;10.1109/JSTQE.2013.2279804";10.1109/JSTQE.2013.2279804;;endoscopic_laparoscopic;;technical evaluation;;system development;;
In vivo Rapid Multispectral Endoscopic Imaging System for Visualizing Morphological and Physiological Characteristics of the Animal Model;"Endoscope, a commonly used multi-disciplinary fusion instrument, is important in screening, clinical diagnosis, intraoperative detection, and prognosis assessment of major malignant diseases, Compared with other optical analysis techniques, Multispectral Imaging (MSI) provides both imaging and spectral information and has more advantages in clinical endoscopy optical detection, We developed a fast multi-spectral endoscopy imaging system with Xenon light source, hard tube endoscope, and imaging CCD, We evaluated its imaging performance using living rat testicular tissue the study object. The system uses six 3-channel narrow-band filters as spectral splitting devices, which can simultaneously achieve three 15 nm narrow band lighting (similar to 15 nm bandwidth) in blue, green, and red wavelengths. After the illumination light is transmitted to the hard tube endoscope through the optical waveguide fiber, the CCD collects the narrowband image and video information corresponding to each filter in real-time (24 MSI data sets per second). The Adaptive Histogram Equalization (AHE) algorithm and CIELab color space model improve the contrast of the obtained multi-spectral images, Combined with the tissue optical transmission model, based on reconstructing tissue multispectral image information, physiological characteristics of living biological tissues (blood content, oxygenation index, scatterer size distribution images, etc.) are further visualized. The experimental results showed that processing MSI images significantly enhanced the visibility of surface tissue blood vessels, subcutaneous microvessels, and other tissue structures and was more conducive to observing tissue texture and capillary distribution, The reconstructed physiological features visualized the differences in blood volume distribution between different tissue parts. By analyzing tissue reflectance spectral characteristics, differences in blood content within tissues can be further quantitatively assessed. The MSI-based endoscopy technology and its detection system in this paper ca further quantitatively analyze the biochemical composition information inside tissues on the premise of visually describing the morphological characteristics of tissues without labels, which is helpful to explore and form new endoscopy optical detection technology that meets the requirements of early detection of clinical cancer,;10.3964/j.issn.1000-0593(2025)06-1527-07";10.3964/j.issn.1000-0593(2025)06-1527-07;;endoscopic_laparoscopic;;technical evaluation;;system development;;
Endoscopic Hyperspectral Imaging System to Discriminate Tissue Characteristics in Tissue Phantom and Orthotopic Mouse Pancreatic Tumor Model;"In this study, we developed an endoscopic hyperspectral imaging (eHSI) system and evaluated its performance in analyzing tissues within tissue phantoms and orthotopic mouse pancreatic tumor models. Our custom-built eHSI system incorporated a liquid crystal tunable filter. To assess its tissue discrimination capabilities, we acquired images of tissue phantoms, distinguishing between fat and muscle regions. The system underwent supervised training using labeled samples, and this classification model was then applied to other tissue phantom images for evaluation. In the tissue phantom experiment, the eHSI effectively differentiated muscle from fat and background tissues. The precision scores regarding fat tissue classification were 98.3% for the support vector machine, 97.7% for the neural network, and 96.0% with a light gradient-boosting machine algorithm, respectively. Furthermore, we applied the eHSI system to identify tumors within an orthotopic mouse pancreatic tumor model. The F-score of each pancreatic tumor-bearing model reached 73.1% for the KPC tumor model and 63.1% for the Pan02 tumor models. The refined imaging conditions and optimization of the fine-tuning of classification algorithms enhance the versatility and diagnostic efficacy of eHSI in biomedical applications.;10.3390/bioengineering11030208";10.3390/bioengineering11030208;;endoscopic_laparoscopic;;technical evaluation;;system development;;
